N,U[f],P[f],U,P,C
5,0.68,0.1,0.8181224897754056,0.1015422262988036,61577.18248606292
10,0.65,0.18,0.7912848194060688,0.18398485597855552,183187.3510449038
15,0.62,0.24,0.7665165356753884,0.2404124752093889,348321.9320426101
20,0.6,0.28,0.7461728870183936,0.282169390602268,535984.5411826355
25,0.58,0.31,0.7292325427213887,0.3148855958606851,735014.4297958678
30,0.56,0.34,0.7147817083717167,0.34161786253057413,939246.1440674302
35,0.55,0.36,0.702183639595582,0.3641550904128218,1145064.833704464
40,0.54,0.38,0.6910024368174981,0.3836134895658456,1350242.098218796
45,0.53,0.4,0.6809336489965893,0.4007278278045391,1553353.1870047003
50,0.52,0.42,0.6717587726538853,0.4160037145272514,1753465.4868756854
55,0.51,0.43,0.6633167501772967,0.42980210440768063,1949960.9634352021
60,0.5,0.44,0.6554858679240048,0.4423888729390447,2142431.2857011696
