N,U[b],P[b],U[f],P[f],U,P,C
5,0.8867749310467211,0.1780859943305726,0.68,0.1,0.1660956157184605,0.10154222629880405,0.0029071969428985426
10,0.8277860912479473,0.289905806701509,0.65,0.18,0.20903591422032428,0.1839848559785564,0.006962717558827685
15,0.7885638071571386,0.35499062714239416,0.62,0.24,0.2260064719050238,0.24041247520938636,0.01232251698282638
20,0.759503245538909,0.39997574674505365,0.6,0.28,0.23399696123805966,0.2821693906022683,0.018355001362621387
25,0.7362473267672192,0.4342597093725159,0.58,0.31,0.23806494873711412,0.3148855958606832,0.02472348310012075
30,0.7167007045140522,0.46198833678029827,0.56,0.34,0.2401496798596977,0.34161786253057613,0.031241974863607334
35,0.6997228143568234,0.4853107213469885,0.55,0.36,0.24112573990319636,0.36415509041281746,0.03780161200035945
40,0.6846294383346109,0.5054736046125344,0.54,0.38,0.24143579010416552,0.38361348956584884,0.04433546320627123
45,0.6709789833931512,0.5232614450772064,0.53,0.4,0.24132400025499753,0.4007278278045425,0.05080088328657023
50,0.6584702561874693,0.5391985529088272,0.52,0.42,0.24093426327216047,0.4160037145272485,0.05717007796911475
55,0.6468888119541458,0.5536520567387277,0.51,0.43,0.2403559131190489,0.42980210440768063,0.06342472780599205
60,0.6360762320154741,0.5668892069139866,0.5,0.44,0.23964677493472575,0.44238887293904494,0.06955281777830336
